Date,Vehicle type,Number of bookings,Number of spaces
30/09/2023,Recycling centre A (cars / small vans),246,320
30/09/2023,Recycling centre A (medium / large vans),9,17
30/09/2023,Recycling centre A (pedestrian / bicycle),2,15
01/10/2023,Recycling centre A (cars / small vans),263,320
01/10/2023,Recycling centre A (medium / large vans),26,17
01/10/2023,Recycling centre A (pedestrian / bicycle),2,15
02/10/2023,Recycling centre A (cars / small vans),229,320
02/10/2023,Recycling centre A (medium / large vans),26,17
02/10/2023,Recycling centre A (pedestrian / bicycle),2,15
05/10/2023,Recycling centre A (cars / small vans),284,320
05/10/2023,Recycling centre A (medium / large vans),26,17
05/10/2023,Recycling centre A (pedestrian / bicycle),0,15
06/10/2023,Recycling centre A (cars / small vans),226,320
06/10/2023,Recycling centre A (medium / large vans),8,17
06/10/2023,Recycling centre A (pedestrian / bicycle),0,15
07/10/2023,Recycling centre A (cars / small vans),224,320
07/10/2023,Recycling centre A (medium / large vans),26,17
07/10/2023,Recycling centre A (pedestrian / bicycle),2,15
08/10/2023,Recycling centre A (cars / small vans),298,320
08/10/2023,Recycling centre A (medium / large vans),26,17
08/10/2023,Recycling centre A (pedestrian / bicycle),3,15
09/10/2023,Recycling centre A (cars / small vans),226,320
09/10/2023,Recycling centre A (medium / large vans),26,17
09/10/2023,Recycling centre A (pedestrian / bicycle),2,15
12/10/2023,Recycling centre A (cars / small vans),220,320
12/10/2023,Recycling centre A (medium / large vans),26,17
12/10/2023,Recycling centre A (pedestrian / bicycle),0,15
13/10/2023,Recycling centre A (cars / small vans),86,320
13/10/2023,Recycling centre A (medium / large vans),24,17
13/10/2023,Recycling centre A (pedestrian / bicycle),2,15
14/10/2023,Recycling centre A (cars / small vans),232,320
14/10/2023,Recycling centre A (medium / large vans),26,17
14/10/2023,Recycling centre A (pedestrian / bicycle),0,15
15/10/2023,Recycling centre A (cars / small vans),233,320
15/10/2023,Recycling centre A (medium / large vans),26,17
15/10/2023,Recycling centre A (pedestrian / bicycle),0,15
16/10/2023,Recycling centre A (cars / small vans),239,320
16/10/2023,Recycling centre A (medium / large vans),23,17
16/10/2023,Recycling centre A (pedestrian / bicycle),0,15
19/10/2023,Recycling centre A (cars / small vans),262,320
19/10/2023,Recycling centre A (medium / large vans),23,17
19/10/2023,Recycling centre A (pedestrian / bicycle),0,15
20/10/2023,Recycling centre A (cars / small vans),220,320
20/10/2023,Recycling centre A (medium / large vans),22,17
20/10/2023,Recycling centre A (pedestrian / bicycle),2,15
21/10/2023,Recycling centre A (cars / small vans),240,320
21/10/2023,Recycling centre A (medium / large vans),23,17
21/10/2023,Recycling centre A (pedestrian / bicycle),2,15
22/10/2023,Recycling centre A (cars / small vans),293,320
22/10/2023,Recycling centre A (medium / large vans),22,17
22/10/2023,Recycling centre A (pedestrian / bicycle),0,15
23/10/2023,Recycling centre A (cars / small vans),242,320
23/10/2023,Recycling centre A (medium / large vans),26,17
23/10/2023,Recycling centre A (pedestrian / bicycle),2,15
26/10/2023,Recycling centre A (cars / small vans),266,320
26/10/2023,Recycling centre A (medium / large vans),24,17
26/10/2023,Recycling centre A (pedestrian / bicycle),2,15
27/10/2023,Recycling centre A (cars / small vans),203,320
27/10/2023,Recycling centre A (medium / large vans),26,17
27/10/2023,Recycling centre A (pedestrian / bicycle),2,15
28/10/2023,Recycling centre A (cars / small vans),226,320
28/10/2023,Recycling centre A (medium / large vans),26,17
28/10/2023,Recycling centre A (pedestrian / bicycle),3,15
29/10/2023,Recycling centre A (cars / small vans),226,320
29/10/2023,Recycling centre A (medium / large vans),26,17
29/10/2023,Recycling centre A (pedestrian / bicycle),2,15
30/10/2023,Recycling centre A (cars / small vans),93,320
30/10/2023,Recycling centre A (medium / large vans),26,17
30/10/2023,Recycling centre A (pedestrian / bicycle),2,15
02/11/2023,Recycling centre A (cars / small vans),240,320
02/11/2023,Recycling centre A (medium / large vans),9,17
02/11/2023,Recycling centre A (pedestrian / bicycle),2,15
03/11/2023,Recycling centre A (cars / small vans),223,320
03/11/2023,Recycling centre A (medium / large vans),3,17
03/11/2023,Recycling centre A (pedestrian / bicycle),0,15
04/11/2023,Recycling centre A (cars / small vans),292,320
04/11/2023,Recycling centre A (medium / large vans),23,17
04/11/2023,Recycling centre A (pedestrian / bicycle),2,15
05/11/2023,Recycling centre A (cars / small vans),263,320
05/11/2023,Recycling centre A (medium / large vans),26,17
05/11/2023,Recycling centre A (pedestrian / bicycle),2,15
06/11/2023,Recycling centre A (cars / small vans),202,320
06/11/2023,Recycling centre A (medium / large vans),22,17
06/11/2023,Recycling centre A (pedestrian / bicycle),0,15
09/11/2023,Recycling centre A (cars / small vans),244,320
09/11/2023,Recycling centre A (medium / large vans),26,17
09/11/2023,Recycling centre A (pedestrian / bicycle),0,15
10/11/2023,Recycling centre A (cars / small vans),209,320
10/11/2023,Recycling centre A (medium / large vans),26,17
10/11/2023,Recycling centre A (pedestrian / bicycle),2,15
11/11/2023,Recycling centre A (cars / small vans),283,320
11/11/2023,Recycling centre A (medium / large vans),26,17
11/11/2023,Recycling centre A (pedestrian / bicycle),2,15
12/11/2023,Recycling centre A (cars / small vans),296,320
12/11/2023,Recycling centre A (medium / large vans),26,17
12/11/2023,Recycling centre A (pedestrian / bicycle),2,15
13/11/2023,Recycling centre A (cars / small vans),223,320
13/11/2023,Recycling centre A (medium / large vans),20,17
13/11/2023,Recycling centre A (pedestrian / bicycle),2,15
16/11/2023,Recycling centre A (cars / small vans),266,320
16/11/2023,Recycling centre A (medium / large vans),22,17
16/11/2023,Recycling centre A (pedestrian / bicycle),2,15
17/11/2023,Recycling centre A (cars / small vans),206,320
17/11/2023,Recycling centre A (medium / large vans),24,17
17/11/2023,Recycling centre A (pedestrian / bicycle),0,15
18/11/2023,Recycling centre A (cars / small vans),283,320
18/11/2023,Recycling centre A (medium / large vans),24,17
18/11/2023,Recycling centre A (pedestrian / bicycle),0,15
19/11/2023,Recycling centre A (cars / small vans),294,320
19/11/2023,Recycling centre A (medium / large vans),23,17
19/11/2023,Recycling centre A (pedestrian / bicycle),2,15
20/11/2023,Recycling centre A (cars / small vans),230,320
20/11/2023,Recycling centre A (medium / large vans),3,17
20/11/2023,Recycling centre A (pedestrian / bicycle),2,15
23/11/2023,Recycling centre A (cars / small vans),289,320
23/11/2023,Recycling centre A (medium / large vans),26,17
23/11/2023,Recycling centre A (pedestrian / bicycle),0,15
24/11/2023,Recycling centre A (cars / small vans),229,320
24/11/2023,Recycling centre A (medium / large vans),26,17
24/11/2023,Recycling centre A (pedestrian / bicycle),2,15
25/11/2023,Recycling centre A (cars / small vans),202,320
25/11/2023,Recycling centre A (medium / large vans),23,17
25/11/2023,Recycling centre A (pedestrian / bicycle),6,15
26/11/2023,Recycling centre A (cars / small vans),228,320
26/11/2023,Recycling centre A (medium / large vans),24,17
26/11/2023,Recycling centre A (pedestrian / bicycle),3,15
27/11/2023,Recycling centre A (cars / small vans),224,320
27/11/2023,Recycling centre A (medium / large vans),22,17
27/11/2023,Recycling centre A (pedestrian / bicycle),2,15
30/11/2023,Recycling centre A (cars / small vans),249,320
30/11/2023,Recycling centre A (medium / large vans),24,17
30/11/2023,Recycling centre A (pedestrian / bicycle),2,15
01/12/2023,Recycling centre A (cars / small vans),93,320
01/12/2023,Recycling centre A (medium / large vans),23,17
01/12/2023,Recycling centre A (pedestrian / bicycle),0,15
02/12/2023,Recycling centre A (cars / small vans),262,320
02/12/2023,Recycling centre A (medium / large vans),24,17
02/12/2023,Recycling centre A (pedestrian / bicycle),3,15
03/12/2023,Recycling centre A (cars / small vans),202,320
03/12/2023,Recycling centre A (medium / large vans),23,17
03/12/2023,Recycling centre A (pedestrian / bicycle),2,15
04/12/2023,Recycling centre A (cars / small vans),96,320
04/12/2023,Recycling centre A (medium / large vans),20,17
04/12/2023,Recycling centre A (pedestrian / bicycle),0,15
07/12/2023,Recycling centre A (cars / small vans),242,320
07/12/2023,Recycling centre A (medium / large vans),26,17
07/12/2023,Recycling centre A (pedestrian / bicycle),3,15
08/12/2023,Recycling centre A (cars / small vans),93,320
08/12/2023,Recycling centre A (medium / large vans),22,17
08/12/2023,Recycling centre A (pedestrian / bicycle),2,15
09/12/2023,Recycling centre A (cars / small vans),263,320
09/12/2023,Recycling centre A (medium / large vans),24,17
09/12/2023,Recycling centre A (pedestrian / bicycle),0,15
10/12/2023,Recycling centre A (cars / small vans),296,320
10/12/2023,Recycling centre A (medium / large vans),26,17
10/12/2023,Recycling centre A (pedestrian / bicycle),2,15
11/12/2023,Recycling centre A (cars / small vans),226,320
11/12/2023,Recycling centre A (medium / large vans),23,17
11/12/2023,Recycling centre A (pedestrian / bicycle),0,15
14/12/2023,Recycling centre A (cars / small vans),236,320
14/12/2023,Recycling centre A (medium / large vans),23,17
14/12/2023,Recycling centre A (pedestrian / bicycle),0,15
15/12/2023,Recycling centre A (cars / small vans),223,320
15/12/2023,Recycling centre A (medium / large vans),22,17
15/12/2023,Recycling centre A (pedestrian / bicycle),2,15
16/12/2023,Recycling centre A (cars / small vans),262,320
16/12/2023,Recycling centre A (medium / large vans),22,17
16/12/2023,Recycling centre A (pedestrian / bicycle),2,15
17/12/2023,Recycling centre A (cars / small vans),206,320
17/12/2023,Recycling centre A (medium / large vans),26,17
17/12/2023,Recycling centre A (pedestrian / bicycle),2,15
18/12/2023,Recycling centre A (cars / small vans),206,320
18/12/2023,Recycling centre A (medium / large vans),26,17
18/12/2023,Recycling centre A (pedestrian / bicycle),0,15
21/12/2023,Recycling centre A (cars / small vans),236,320
21/12/2023,Recycling centre A (medium / large vans),24,17
21/12/2023,Recycling centre A (pedestrian / bicycle),2,15
22/12/2023,Recycling centre A (cars / small vans),296,320
22/12/2023,Recycling centre A (medium / large vans),26,17
22/12/2023,Recycling centre A (pedestrian / bicycle),2,15
23/12/2023,Recycling centre A (cars / small vans),232,320
23/12/2023,Recycling centre A (medium / large vans),26,17
23/12/2023,Recycling centre A (pedestrian / bicycle),3,15
24/12/2023,Recycling centre A (cars / small vans),266,320
24/12/2023,Recycling centre A (medium / large vans),26,17
24/12/2023,Recycling centre A (pedestrian / bicycle),2,15
28/12/2023,Recycling centre A (cars / small vans),292,320
28/12/2023,Recycling centre A (medium / large vans),23,17
28/12/2023,Recycling centre A (pedestrian / bicycle),2,15
29/12/2023,Recycling centre A (cars / small vans),226,320
29/12/2023,Recycling centre A (medium / large vans),22,17
29/12/2023,Recycling centre A (pedestrian / bicycle),0,15
30/12/2023,Recycling centre A (cars / small vans),226,320
30/12/2023,Recycling centre A (medium / large vans),22,17
30/12/2023,Recycling centre A (pedestrian / bicycle),0,15
31/12/2023,Recycling centre A (cars / small vans),224,320
31/12/2023,Recycling centre A (medium / large vans),9,17
31/12/2023,Recycling centre A (pedestrian / bicycle),2,15
04/01/2024,Recycling centre A (cars / small vans),236,320
04/01/2024,Recycling centre A (medium / large vans),26,17
04/01/2024,Recycling centre A (pedestrian / bicycle),2,15
05/01/2024,Recycling centre A (cars / small vans),238,320
05/01/2024,Recycling centre A (medium / large vans),22,17
05/01/2024,Recycling centre A (pedestrian / bicycle),2,15
06/01/2024,Recycling centre A (cars / small vans),238,320
06/01/2024,Recycling centre A (medium / large vans),22,17
06/01/2024,Recycling centre A (pedestrian / bicycle),0,15
07/01/2024,Recycling centre A (cars / small vans),262,320
07/01/2024,Recycling centre A (medium / large vans),23,17
07/01/2024,Recycling centre A (pedestrian / bicycle),0,15
08/01/2024,Recycling centre A (cars / small vans),206,320
08/01/2024,Recycling centre A (medium / large vans),6,17
08/01/2024,Recycling centre A (pedestrian / bicycle),0,15
11/01/2024,Recycling centre A (cars / small vans),236,320
11/01/2024,Recycling centre A (medium / large vans),8,17
11/01/2024,Recycling centre A (pedestrian / bicycle),2,15
12/01/2024,Recycling centre A (cars / small vans),99,320
12/01/2024,Recycling centre A (medium / large vans),8,17
12/01/2024,Recycling centre A (pedestrian / bicycle),0,15
13/01/2024,Recycling centre A (cars / small vans),238,320
13/01/2024,Recycling centre A (medium / large vans),20,17
13/01/2024,Recycling centre A (pedestrian / bicycle),0,15
14/01/2024,Recycling centre A (cars / small vans),224,320
14/01/2024,Recycling centre A (medium / large vans),9,17
14/01/2024,Recycling centre A (pedestrian / bicycle),3,15
15/01/2024,Recycling centre A (cars / small vans),96,320
15/01/2024,Recycling centre A (medium / large vans),8,17
15/01/2024,Recycling centre A (pedestrian / bicycle),2,15
18/01/2024,Recycling centre A (cars / small vans),223,320
18/01/2024,Recycling centre A (medium / large vans),24,17
18/01/2024,Recycling centre A (pedestrian / bicycle),0,15
19/01/2024,Recycling centre A (cars / small vans),89,320
19/01/2024,Recycling centre A (medium / large vans),9,17
19/01/2024,Recycling centre A (pedestrian / bicycle),0,15
20/01/2024,Recycling centre A (cars / small vans),268,320
20/01/2024,Recycling centre A (medium / large vans),24,17
20/01/2024,Recycling centre A (pedestrian / bicycle),2,15
21/01/2024,Recycling centre A (cars / small vans),224,320
21/01/2024,Recycling centre A (medium / large vans),24,17
21/01/2024,Recycling centre A (pedestrian / bicycle),0,15
22/01/2024,Recycling centre A (cars / small vans),89,320
22/01/2024,Recycling centre A (medium / large vans),6,17
22/01/2024,Recycling centre A (pedestrian / bicycle),2,15
25/01/2024,Recycling centre A (cars / small vans),229,320
25/01/2024,Recycling centre A (medium / large vans),9,17
25/01/2024,Recycling centre A (pedestrian / bicycle),0,15
26/01/2024,Recycling centre A (cars / small vans),90,320
26/01/2024,Recycling centre A (medium / large vans),9,17
26/01/2024,Recycling centre A (pedestrian / bicycle),2,15
27/01/2024,Recycling centre A (cars / small vans),266,320
27/01/2024,Recycling centre A (medium / large vans),22,17
27/01/2024,Recycling centre A (pedestrian / bicycle),2,15
28/01/2024,Recycling centre A (cars / small vans),209,320
28/01/2024,Recycling centre A (medium / large vans),26,17
28/01/2024,Recycling centre A (pedestrian / bicycle),0,15
29/01/2024,Recycling centre A (cars / small vans),94,320
29/01/2024,Recycling centre A (medium / large vans),8,17
29/01/2024,Recycling centre A (pedestrian / bicycle),0,15
01/02/2024,Recycling centre A (cars / small vans),246,320
01/02/2024,Recycling centre A (medium / large vans),26,17
01/02/2024,Recycling centre A (pedestrian / bicycle),2,15
02/02/2024,Recycling centre A (cars / small vans),222,320
02/02/2024,Recycling centre A (medium / large vans),26,17
02/02/2024,Recycling centre A (pedestrian / bicycle),2,15
03/02/2024,Recycling centre A (cars / small vans),234,320
03/02/2024,Recycling centre A (medium / large vans),26,17
03/02/2024,Recycling centre A (pedestrian / bicycle),0,15
04/02/2024,Recycling centre A (cars / small vans),228,320
04/02/2024,Recycling centre A (medium / large vans),26,17
04/02/2024,Recycling centre A (pedestrian / bicycle),2,15
05/02/2024,Recycling centre A (cars / small vans),200,320
05/02/2024,Recycling centre A (medium / large vans),9,17
05/02/2024,Recycling centre A (pedestrian / bicycle),2,15
08/02/2024,Recycling centre A (cars / small vans),223,320
08/02/2024,Recycling centre A (medium / large vans),26,17
08/02/2024,Recycling centre A (pedestrian / bicycle),2,15
09/02/2024,Recycling centre A (cars / small vans),90,320
09/02/2024,Recycling centre A (medium / large vans),22,17
09/02/2024,Recycling centre A (pedestrian / bicycle),0,15
10/02/2024,Recycling centre A (cars / small vans),263,320
10/02/2024,Recycling centre A (medium / large vans),9,17
10/02/2024,Recycling centre A (pedestrian / bicycle),2,15
11/02/2024,Recycling centre A (cars / small vans),298,320
11/02/2024,Recycling centre A (medium / large vans),26,17
11/02/2024,Recycling centre A (pedestrian / bicycle),2,15
12/02/2024,Recycling centre A (cars / small vans),226,320
12/02/2024,Recycling centre A (medium / large vans),9,17
12/02/2024,Recycling centre A (pedestrian / bicycle),2,15
15/02/2024,Recycling centre A (cars / small vans),263,320
15/02/2024,Recycling centre A (medium / large vans),6,17
15/02/2024,Recycling centre A (pedestrian / bicycle),0,15
16/02/2024,Recycling centre A (cars / small vans),204,320
16/02/2024,Recycling centre A (medium / large vans),9,17
16/02/2024,Recycling centre A (pedestrian / bicycle),0,15
17/02/2024,Recycling centre A (cars / small vans),206,320
17/02/2024,Recycling centre A (medium / large vans),23,17
17/02/2024,Recycling centre A (pedestrian / bicycle),2,15
18/02/2024,Recycling centre A (cars / small vans),233,320
18/02/2024,Recycling centre A (medium / large vans),24,17
18/02/2024,Recycling centre A (pedestrian / bicycle),0,15
19/02/2024,Recycling centre A (cars / small vans),99,320
19/02/2024,Recycling centre A (medium / large vans),23,17
19/02/2024,Recycling centre A (pedestrian / bicycle),2,15
22/02/2024,Recycling centre A (cars / small vans),226,320
22/02/2024,Recycling centre A (medium / large vans),24,17
22/02/2024,Recycling centre A (pedestrian / bicycle),2,15
23/02/2024,Recycling centre A (cars / small vans),80,320
23/02/2024,Recycling centre A (medium / large vans),8,17
23/02/2024,Recycling centre A (pedestrian / bicycle),3,15
24/02/2024,Recycling centre A (cars / small vans),283,320
24/02/2024,Recycling centre A (medium / large vans),26,17
24/02/2024,Recycling centre A (pedestrian / bicycle),2,15
25/02/2024,Recycling centre A (cars / small vans),229,320
25/02/2024,Recycling centre A (medium / large vans),26,17
25/02/2024,Recycling centre A (pedestrian / bicycle),2,15
26/02/2024,Recycling centre A (cars / small vans),96,320
26/02/2024,Recycling centre A (medium / large vans),6,17
26/02/2024,Recycling centre A (pedestrian / bicycle),0,15
29/02/2024,Recycling centre A (cars / small vans),246,320
29/02/2024,Recycling centre A (medium / large vans),26,17
29/02/2024,Recycling centre A (pedestrian / bicycle),2,15
01/03/2024,Recycling centre A (cars / small vans),82,320
01/03/2024,Recycling centre A (medium / large vans),23,17
01/03/2024,Recycling centre A (pedestrian / bicycle),0,15
02/03/2024,Recycling centre A (cars / small vans),236,320
02/03/2024,Recycling centre A (medium / large vans),23,17
02/03/2024,Recycling centre A (pedestrian / bicycle),0,15
03/03/2024,Recycling centre A (cars / small vans),204,320
03/03/2024,Recycling centre A (medium / large vans),26,17
03/03/2024,Recycling centre A (pedestrian / bicycle),2,15
04/03/2024,Recycling centre A (cars / small vans),222,320
04/03/2024,Recycling centre A (medium / large vans),8,17
04/03/2024,Recycling centre A (pedestrian / bicycle),2,15
07/03/2024,Recycling centre A (cars / small vans),294,320
07/03/2024,Recycling centre A (medium / large vans),20,17
07/03/2024,Recycling centre A (pedestrian / bicycle),2,15
08/03/2024,Recycling centre A (cars / small vans),222,320
08/03/2024,Recycling centre A (medium / large vans),6,17
08/03/2024,Recycling centre A (pedestrian / bicycle),0,15
09/03/2024,Recycling centre A (cars / small vans),296,320
09/03/2024,Recycling centre A (medium / large vans),22,17
09/03/2024,Recycling centre A (pedestrian / bicycle),2,15
10/03/2024,Recycling centre A (cars / small vans),220,320
10/03/2024,Recycling centre A (medium / large vans),8,17
10/03/2024,Recycling centre A (pedestrian / bicycle),2,15
11/03/2024,Recycling centre A (cars / small vans),93,320
11/03/2024,Recycling centre A (medium / large vans),20,17
11/03/2024,Recycling centre A (pedestrian / bicycle),2,15
14/03/2024,Recycling centre A (cars / small vans),233,320
14/03/2024,Recycling centre A (medium / large vans),20,17
14/03/2024,Recycling centre A (pedestrian / bicycle),2,15
15/03/2024,Recycling centre A (cars / small vans),98,320
15/03/2024,Recycling centre A (medium / large vans),20,17
15/03/2024,Recycling centre A (pedestrian / bicycle),0,15
16/03/2024,Recycling centre A (cars / small vans),296,320
16/03/2024,Recycling centre A (medium / large vans),26,17
16/03/2024,Recycling centre A (pedestrian / bicycle),0,15
17/03/2024,Recycling centre A (cars / small vans),223,320
17/03/2024,Recycling centre A (medium / large vans),24,17
17/03/2024,Recycling centre A (pedestrian / bicycle),2,15
18/03/2024,Recycling centre A (cars / small vans),99,320
18/03/2024,Recycling centre A (medium / large vans),3,17
18/03/2024,Recycling centre A (pedestrian / bicycle),2,15
21/03/2024,Recycling centre A (cars / small vans),268,320
21/03/2024,Recycling centre A (medium / large vans),20,17
21/03/2024,Recycling centre A (pedestrian / bicycle),2,15
22/03/2024,Recycling centre A (cars / small vans),236,320
22/03/2024,Recycling centre A (medium / large vans),9,17
22/03/2024,Recycling centre A (pedestrian / bicycle),4,15
23/03/2024,Recycling centre A (cars / small vans),232,320
23/03/2024,Recycling centre A (medium / large vans),26,17
23/03/2024,Recycling centre A (pedestrian / bicycle),2,15
24/03/2024,Recycling centre A (cars / small vans),263,320
24/03/2024,Recycling centre A (medium / large vans),26,17
24/03/2024,Recycling centre A (pedestrian / bicycle),2,15
25/03/2024,Recycling centre A (cars / small vans),222,320
25/03/2024,Recycling centre A (medium / large vans),26,17
25/03/2024,Recycling centre A (pedestrian / bicycle),2,15
28/03/2024,Recycling centre A (cars / small vans),206,320
28/03/2024,Recycling centre A (medium / large vans),26,17
28/03/2024,Recycling centre A (pedestrian / bicycle),0,15
29/03/2024,Recycling centre A (cars / small vans),222,320
29/03/2024,Recycling centre A (medium / large vans),26,17
29/03/2024,Recycling centre A (pedestrian / bicycle),0,15
30/03/2024,Recycling centre A (cars / small vans),236,320
30/03/2024,Recycling centre A (medium / large vans),26,17
30/03/2024,Recycling centre A (pedestrian / bicycle),0,15
31/03/2024,Recycling centre A (cars / small vans),266,320
31/03/2024,Recycling centre A (medium / large vans),26,17
31/03/2024,Recycling centre A (pedestrian / bicycle),2,15
